county,constituency,ward,no_of_polling_station_2017,no_of_registered_voters_2017,year_2017,no_of_polling_station_2022,no_of_registered_voters_2022,year_2022,change_polling,change_voters,pct_change_voters
BARINGO,BARINGO CENTRAL,EWALEL/CHAPCHAP,23.0,8176.0,2017.0,24,9551,2022,1.0,1375.0,16.817514677103716
BARINGO,BARINGO CENTRAL,KABARNET,41.0,12669.0,2017.0,44,15204,2022,3.0,2535.0,20.00947193937959
BARINGO,BARINGO CENTRAL,KAPROPITA,29.0,7235.0,2017.0,29,8940,2022,0.0,1705.0,23.56599861782999
BARINGO,BARINGO CENTRAL,SACHO,20.0,5180.0,2017.0,22,6205,2022,2.0,1025.0,19.787644787644787
BARINGO,BARINGO CENTRAL,TENGES,22.0,5128.0,2017.0,23,6020,2022,1.0,892.0,17.394695787831512
BARINGO,BARINGO NORTH,BARTABWA,33.0,5427.0,2017.0,40,6383,2022,7.0,956.0,17.61562557582458
BARINGO,BARINGO NORTH,BARWESSA,45.0,10484.0,2017.0,57,12693,2022,12.0,2209.0,21.070202212895843
BARINGO,BARINGO NORTH,KABARTONJO,29.0,9713.0,2017.0,32,11270,2022,3.0,1557.0,16.030062802429732
BARINGO,BARINGO NORTH,SAIMO/KIPSARAMAN,29.0,10149.0,2017.0,33,11657,2022,4.0,1508.0,14.85860675928663
BARINGO,BARINGO NORTH,SAIMO/SOI,37.0,7001.0,2017.0,44,8284,2022,7.0,1283.0,18.32595343522354
BARINGO,BARINGO SOUTH,ILCHAMUS,19.0,7009.0,2017.0,28,8722,2022,9.0,1713.0,24.44000570694821
BARINGO,BARINGO SOUTH,MARIGAT,54.0,13076.0,2017.0,65,15859,2022,11.0,2783.0,21.283267054145
BARINGO,BARINGO SOUTH,MOCHONGOI,39.0,10948.0,2017.0,54,12938,2022,15.0,1990.0,18.176835951772013
BARINGO,BARINGO SOUTH,MUKUTANI,20.0,4129.0,2017.0,25,5272,2022,5.0,1143.0,27.682247517558732
