county,constituency,ward,no_of_polling_station,no_of_registered_voters
DIASPORA,DIASPORA,BURUNDI,1,201
DIASPORA,DIASPORA,GERMANY,1,314
DIASPORA,DIASPORA,RWANDA,2,1090
DIASPORA,DIASPORA,SOUTH AFRICA,2,958
DIASPORA,DIASPORA,SOUTH SUDAN,2,977
DIASPORA,DIASPORA,UNITED ARAB EMIRATES,2,745
DIASPORA,DIASPORA,UNITED KINGDOM,2,798
DIASPORA,DIASPORA,CANADA,3,366
DIASPORA,DIASPORA,QATAR,3,1437
DIASPORA,DIASPORA,TANZANIA,3,1402
DIASPORA,DIASPORA,UGANDA,3,1411
DIASPORA,DIASPORA,UNITED STATES OF AMERICA,3,744
LAMU,LAMU EAST,BASUBA,5,949
MANDERA,MANDERA NORTH,MOROTHILE,6,2777
MANDERA,LAFEY,SALA,6,2412
GARISSA,LAGDERA,GOREALE,7,2438
MANDERA,BANISSA,GUBA,7,1539
MANDERA,LAFEY,FINO,8,2786
GARISSA,DADAAB,LABASIGALE,8,4331
GARISSA,LAGDERA,SABENA,8,3394
MANDERA,LAFEY,ALANGO GOF,9,4478
MARSABIT,LAISAMIS,LOGO LOGO,9,4133
LAMU,LAMU WEST,SHELLA,9,3632
GARISSA,BALAMBALA,JARA JARA,10,2729
GARISSA,FAFI,JARAJILA,10,3123
WAJIR,WAJIR NORTH,MALKAGUFU,10,4031
ELGEYO/MARAKWET,MARAKWET WEST,ARROR,11,5243
WAJIR,WAJIR NORTH,GODOMA,11,3168
WAJIR,WAJIR NORTH,GURAR,11,3885
MARSABIT,NORTH HORR,ILLERET,11,3691
MIGORI,NYATIKE,KALER,11,5727
HOMA BAY,NDHIWA,KANYIKELA,11,5350
LAMU,LAMU EAST,KIUNGA,11,4583
TURKANA,TURKANA SOUTH,LOBOKAT,11,4259
MOMBASA,KISAUNI,MWAKIRUNGE,11,6423
MIGORI,KURIA EAST,NTIMARU EAST,11,5591
MANDERA,MANDERA EAST,ARABIA,12,4187
NAKURU,NAKURU TOWN WEST,BARUT,12,6699
GARISSA,LAGDERA,BENANE,12,4463
BUSIA,MATAYOS,BUSIBWABO,12,6500
TURKANA,TURKANA NORTH,KIBISH,12,3684
WAJIR,ELDAS,LAKOLEY SOUTH/BASIR,12,3443
TURKANA,TURKANA WEST,LOPUR,12,5697
KAJIADO,KAJIADO WEST,MOSIRO,12,4214
KAJIADO,KAJIADO CENTRAL,PURKO,12,4848
GARISSA,IJARA,SANGAILU,12,4919
SAMBURU,SAMBURU NORTH,BAAWA,13,4887
WAJIR,WAJIR SOUTH,BURDER,13,4863
WAJIR,WAJIR NORTH,BUTE,13,3786
GARISSA,DADAAB,DADAAB,13,5657
WAJIR,TARBAJ,ELBEN,13,3562
LAMU,LAMU WEST,HONGWE,13,5071
TAITA TAVETA,VOI,MARUNGU,13,6681
TURKANA,TURKANA WEST,NANAAM,13,4153
TURKANA,TURKANA WEST,SONGOT,13,4733
WAJIR,WAJIR SOUTH,DADAJA BULLA,14,5389
MANDERA,BANISSA,DERKHALE,14,7068
MARSABIT,SAKU,KARARE,14,4723
MANDERA,MANDERA EAST,LIBEHIA,14,6296
TURKANA,LOIMA,LOIMA,14,3978
TURKANA,TURKANA WEST,LOKICHOGGIO,14,5490
SAMBURU,SAMBURU WEST,LOOSUK,14,5280
TAITA TAVETA,TAVETA,MAHOO,14,6817
MIGORI,KURIA WEST,MAKERERO,14,6056
BUSIA,MATAYOS,MAYENJE,14,8184
TAITA TAVETA,VOI,SAGALLA,14,7067
MANDERA,LAFEY,WARANQARA,14,3956
WAJIR,TARBAJ,WARGADUD,14,4420
TAITA TAVETA,WUNDANYI,WERUGHA,14,6085
SAMBURU,SAMBURU NORTH,ANGATA NANYOKIE,15,4204
GARISSA,LAGDERA,BARAKI,15,5175
MIGORI,KURIA WEST,BUKIRA CENTRL/IKEREGE,15,7865
ISIOLO,ISIOLO NORTH,CHARI,15,4486
MANDERA,MANDERA SOUTH,ELWAK NORTH,15,6279
KISII,SOUTH MUGIRANGO,GETENGA,15,7615
MARSABIT,LAISAMIS,KARGI/SOUTH HORR,15,5327
GARISSA,DADAAB,LIBOI,15,5362
TRANS NZOIA,SABOTI,MACHEWA,15,8918
TAITA TAVETA,TAVETA,MATA,15,5988
ISIOLO,ISIOLO NORTH,NGARE MARA,15,5434
TAITA TAVETA,VOI,NGOLIA,15,6373
KIAMBU,THIKA TOWN,NGOLIBA,15,10102
SAMBURU,SAMBURU WEST,PORO,15,5873
BUSIA,BUDALANGI,BUNYALA CENTRAL,16,7725
GARISSA,FAFI,BURA,16,5272
GARISSA,DADAAB,DERTU,16,3744
MIGORI,URIRI,EAST KANYAMKAGO,16,7489
MIGORI,KURIA WEST,ISIBANIA,16,9169
KILIFI,MALINDI,KAKUYUNI,16,8750
UASIN GISHU,SOY,KAPKURES,16,9020
TAITA TAVETA,VOI,KASIGAU,16,7829
KERICHO,AINAMOI,KIPCHIMCHIM,16,7969
MANDERA,LAFEY,LAFEY,16,4932
MARSABIT,LAISAMIS,LAISAMIS,16,6925
MANDERA,BANISSA,MALKAMARI,16,6440
NAROK,EMURUA DIKIRR,MOGONDO,16,8019
SAMBURU,SAMBURU NORTH,NACHOLA,16,3194
MARSABIT,MOYALE,OBBU,16,4120
SIAYA,ALEGO USONGA,USONGA,16,9273
MANDERA,MANDERA NORTH,ASHABITO,17,7806
GARISSA,BALAMBALA,BALAMBALA,17,4414
KISII,KITUTU CHACHE SOUTH,BOGEKA,17,7774
KISII,BOMACHOGE BORABU,BOOCHI BORABU,17,8650
MIGORI,KURIA WEST,BUKIRA EAST,17,8957
GARISSA,BALAMBALA,DANYERE,17,3924
TURKANA,TURKANA WEST,KALOBEYEI,17,5099
NAKURU,NAKURU TOWN WEST,KAPKURES,17,10590
TURKANA,TURKANA SOUTH,KAPUTIR,17,4123
BUNGOMA,BUMULA,KHASOKO,17,9270
MANDERA,MANDERA WEST,LAGSURE,17,6746
GARISSA,LAGDERA,MAALIMIN,17,5091
VIHIGA,HAMISI,MUHUDU,17,9183
KAKAMEGA,MUMIAS WEST,MUMIAS NORTH,17,9113
KILIFI,RABAI,MWAWESA,17,8793
MIGORI,KURIA EAST,NTIMARU WEST,17,8628
KIAMBU,KABETE,UTHIRU,17,11341
MANDERA,MANDERA SOUTH,WARGADUD,17,7341
BUSIA,TESO NORTH,ANG'URAI EAST,18,7764
WAJIR,WAJIR NORTH,BATALU,18,6364
TAITA TAVETA,TAVETA,BOMANI,18,10441
WAJIR,ELDAS,DELLA,18,6188
WAJIR,ELDAS,ELDAS,18,4630
GARISSA,FAFI,FAFI,18,7050
TURKANA,TURKANA NORTH,KAERIS,18,6586
KIAMBU,RUIRU,KAHAWA SUKARI,18,11697
WAJIR,WAJIR NORTH,KORONDILE,18,5317
KAKAMEGA,LURAMBI,MAHIAKALO,18,9750
BUSIA,TESO NORTH,MALABA NORTH,18,8401
ELGEYO/MARAKWET,KEIYO SOUTH,METKEI,18,7980
TANA RIVER,GALOLE,MIKINDUNI,18,7570
TAITA TAVETA,WUNDANYI,MWANDA/MGANGE,18,7928
NAKURU,NJORO,NESSUIT,18,9692
KILIFI,MAGARINI,SABAKI,18,9589
ISIOLO,ISIOLO SOUTH,SERICHO,18,6058
MANDERA,MANDERA WEST,TAKABA,18,5683
KERICHO,KIPKELION EAST,TENDENO/SORGET,18,9065
BUNGOMA,BUMULA,WEST BUKUSU,18,9769
VIHIGA,SABATIA,CHAVAKALI,19,10564
HOMA BAY,KASIPUL,EAST KAMAGAK,19,9074
ELGEYO/MARAKWET,KEIYO NORTH,EMSOO,19,6461
MIGORI,KURIA EAST,GOKEHARAKA/GETAMBWEGA,19,7962
HOMA BAY,HOMA BAY TOWN,HOMA BAY WEST,19,8283
NAIROBI CITY,MATHARE,HOSPITAL,19,12512
BUNGOMA,BUMULA,KABULA,19,9817
KAKAMEGA,MATUNGU,KHALABA,19,9414
MIGORI,SUNA EAST,KWA,19,8929
MACHAKOS,MATUNGULU,KYELENI,19,9080
TURKANA,TURKANA WEST,LETEA,19,5348
BARINGO,TIATY,LOIYAMOROCK,19,4137
UASIN GISHU,KAPSERET,MEGUN,19,8159
VIHIGA,VIHIGA,MUNGOMA,19,10602
TAITA TAVETA,MWATATE,MWATATE,19,10082
GARISSA,FAFI,NANIGHI,19,7150
SAMBURU,SAMBURU NORTH,NDOTO,19,6088
VIHIGA,SABATIA,NORTH MARAGOLI,19,10314
ISIOLO,ISIOLO NORTH,OLDO/NYIRO,19,5984
TAITA TAVETA,MWATATE,RONG'E,19,7080
NAROK,NAROK SOUTH,SAGAMIAN,19,7523
TRANS NZOIA,KIMININI,SIKHENDU,19,11573
MANDERA,MANDERA WEST,TAKABA SOUTH,19,6742
WAJIR,WAJIR EAST,WAGBERI,19,7353
TAITA TAVETA,WUNDANYI,WUMINGU/KISHUSHE,19,8007
TAITA TAVETA,MWATATE,WUSI/KISHAMBA,19,8104
BUSIA,TESO SOUTH,AMUKURA WEST,20,8862
MERU,TIGANIA WEST,ATHWANA,20,9123
BUSIA,NAMBALE,BUKHAYO CENTRAL,20,10348
KAKAMEGA,LURAMBI,BUTSOTSO SOUTH,20,9094
BUSIA,TESO SOUTH,CHAKOL NORTH,20,9450
TAITA TAVETA,TAVETA,CHALA,20,9682
BOMET,KONOIN,CHEPCHABAS,20,9316
WAJIR,WAJIR NORTH,DANABA,20,7376
KAKAMEGA,MALAVA,EAST KABRAS,20,9995
SAMBURU,SAMBURU NORTH,EL-BARTA,20,5678
MANDERA,MANDERA SOUTH,ELWAK SOUTH,20,6095
ISIOLO,ISIOLO SOUTH,GARBATULLA,20,7238
TANA RIVER,GARSEN,GARSEN CENTRAL,20,8256
KAKAMEGA,NAVAKHOLO,INGOSTSE-MATHIA,20,10171
KAKAMEGA,SHINYALU,ISUKHA WEST,20,10181
BUSIA,BUTULA,KINGANDOLE,20,9906
TANA RIVER,GARSEN,KIPINI EAST,20,7898
UASIN GISHU,SOY,KIPSOMBA,20,9928
HOMA BAY,KABONDO KASIPUL,KOJWACH,20,10519
VIHIGA,LUANDA,LUANDA TOWNSHIP,20,10486
TRANS NZOIA,CHERANGANY,MAKUTANO,20,9318
KISUMU,MUHORONI,MIWANI,20,10846
MARSABIT,MOYALE,MOYALE TOWNSHIP,20,10237
MACHAKOS,MASINGA,MUTHESYA,20,8874
KISII,KITUTU CHACHE SOUTH,NYATIEKO,20,10340
HOMA BAY,SUBA SOUTH,RUMA-KAKSINGRI,20,7040
BARINGO,TIATY,SILALE,20,3744
MARSABIT,MOYALE,SOLOLO,20,8376
MIGORI,KURIA WEST,TAGARE,20,9780
MANDERA,BANISSA,BANISSA,21,9898
WAJIR,WAJIR EAST,BARWAGO,21,10302
KISII,BONCHARI,BOMARIBA,21,11167
TAITA TAVETA,MWATATE,CHAWIA,21,9208
BOMET,BOMET EAST,CHEMANER,21,9389
NANDI,TINDERET,CHEMELIL/CHEMASE,21,8377
GARISSA,FAFI,DEKAHARIA,21,4740
KISUMU,NYANDO,EAST KANO/WAWIDHI,21,10146
BUSIA,BUTULA,ELUGULU,21,10169
KIAMBU,THIKA TOWN,GATUANYAGA,21,12555
LAMU,LAMU WEST,HINDI,21,8533
WAJIR,WAJIR SOUTH,IBRAHIM URE,21,6179
KAJIADO,KAJIADO CENTRAL,ILDAMAT,21,9535
KAJIADO,KAJIADO EAST,IMARORO,21,9400
KAKAMEGA,SHINYALU,ISUKHA EAST,21,9724
TURKANA,TURKANA SOUTH,KALAPATA,21,4329
TURKANA,TURKANA CENTRAL,KANAMKEMER,21,11222
KIRINYAGA,MWEA,KANGAI,21,12568
HOMA BAY,NDHIWA,KANYADOTO,21,9315
MIGORI,NYATIKE,KANYASA,21,7748
NANDI,NANDI HILLS,KAPCHORUA,21,8480
KISII,KITUTU CHACHE NORTH,KEGOGI,21,10989
